,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
822,Corsair CMR32GX4M4C3000C16 8GB,20,19.0,15.5,$764.40*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3000C16+8GB&id=11572
823,Corsair CMR32GX4M4C3200C16 8GB,26,19.4,15.7,$532.75*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3200C16+8GB&id=11058
824,Corsair CMR32GX4M4C3333C16 8GB,24,20.0,16.7,$848.06*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3333C16+8GB&id=10699
825,Corsair CMR32GX4M4C3466C16 8GB,29,19.5,16.4,$523.32*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3466C16+8GB&id=11049
826,Corsair CMR32GX4M4C3600C18 8GB,31,16.6,14.8,$649.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3600C18+8GB&id=11016
827,Corsair CMR32GX4M4D3000C16 8GB,23,17.2,14.2,$470.88*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4D3000C16+8GB&id=12064
830,Corsair CMR64GX4M4C3000C15 16GB,23,18.4,13.6,$769.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR64GX4M4C3000C15+16GB&id=11373
831,Corsair CMR64GX4M4C3200C16 16GB,36,18.5,15.4,$499.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR64GX4M4C3200C16+16GB&id=11198
835,Corsair CMR64GX4M8C3000C15 8GB,98,10.7,9.0,$969.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR64GX4M8C3000C15+8GB&id=11073
837,Corsair CMR64GX4M8X3800C19 8GB,51,12.8,13.5,$889.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR64GX4M8X3800C19+8GB&id=12283
839,Corsair CMSO16GX4M1A2133C15 16GB,35,15.2,11.5,$139.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSO16GX4M1A2133C15+16GB&id=8956
840,Corsair CMSO16GX4M2A2133C15 8GB,34,14.9,11.0,$444.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSO16GX4M2A2133C15+8GB&id=8655
841,Corsair CMSO32GX4M2A2133C15 16GB,42,13.4,10.6,$373.83*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSO32GX4M2A2133C15+16GB&id=9091
842,Corsair CMSO4GX4M1A2133C15 4GB,28,12.2,8.3,$38.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSO4GX4M1A2133C15+4GB&id=9952
843,Corsair CMSO8GX4M1A2133C15 8GB,38,14.6,10.9,$49.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSO8GX4M1A2133C15+8GB&id=9107
844,Corsair CMSX16GX4M1A2400C16 16GB,38,15.9,12.6,$125.50*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M1A2400C16+16GB&id=12541
845,Corsair CMSX16GX4M1A2666C18 16GB,35,15.8,13.9,$73.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M1A2666C18+16GB&id=13051
846,Corsair CMSX16GX4M1A3200C22 16GB,41,15.6,13.2,$99.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M1A3200C22+16GB&id=17667
847,Corsair CMSX16GX4M2A2400C16 8GB,37,15.2,12.2,$115.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M2A2400C16+8GB&id=9176
848,Corsair CMSX16GX4M2A2666C18 8GB,40,14.2,11.9,$99.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M2A2666C18+8GB&id=9465
849,Corsair CMSX16GX4M2A3000C16 8GB,28,16.3,13.4,$129.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M2A3000C16+8GB&id=9867
851,Corsair CMSX16GX4M2A3200C22 8GB,40,16.7,14.0,$119.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX16GX4M2A3200C22+8GB&id=15188
854,Corsair CMSX32GX4M2A2400C16 16GB,38,14.9,12.6,$137.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX32GX4M2A2400C16+16GB&id=9409
855,Corsair CMSX32GX4M2A2666C18 16GB,37,15.2,13.2,$139.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX32GX4M2A2666C18+16GB&id=8805
857,Corsair CMSX32GX4M2A3000C16 16GB,32,17.4,14.3,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX32GX4M2A3000C16+16GB&id=9296
859,Corsair CMSX32GX4M2A3200C22 16GB,42,15.7,13.0,$219.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX32GX4M2A3200C22+16GB&id=15556
862,Corsair CMSX64GX4M2A2666C18 32GB,40,15.1,13.2,$436.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX64GX4M2A2666C18+32GB&id=14107
864,Corsair CMSX64GX4M2A3200C22 32GB,53,15.4,13.7,$499.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX64GX4M2A3200C22+32GB&id=18203
865,Corsair CMSX64GX4M4A2400C16 16GB,33,14.5,12.0,$289.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX64GX4M4A2400C16+16GB&id=10473
866,Corsair CMSX64GX4M4A2666C18 16GB,35,16.2,14.4,$559.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX64GX4M4A2666C18+16GB&id=9805
867,Corsair CMSX8GX4M1A2400C16 8GB,29,15.9,12.3,$38.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX8GX4M1A2400C16+8GB&id=11302
869,Corsair CMSX8GX4M2A2400C16 4GB,25,15.1,10.7,$65.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX8GX4M2A2400C16+4GB&id=8310
870,Corsair CMSX8GX4M2A2666C18 4GB,30,17.6,12.9,$134.83*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX8GX4M2A2666C18+4GB&id=12542
876,Corsair CMT16GX4M2C3000C15 8GB,28,17.2,12.6,$193.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2C3000C15+8GB&id=13487
878,Corsair CMT16GX4M2C3200C16 8GB,29,18.1,15.1,$169.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2C3200C16+8GB&id=13206
880,Corsair CMT16GX4M2C3600C18 8GB,29,20.4,16.4,$175.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2C3600C18+8GB&id=13140
881,Corsair CMT16GX4M2K3600C16 8GB,34,17.6,13.4,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2K3600C16+8GB&id=13269
884,Corsair CMT16GX4M2Z3200C16 8GB,30,18.0,14.7,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2Z3200C16+8GB&id=13672
885,Corsair CMT32GX4M2C3000C15 16GB,30,17.9,15.0,$254.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M2C3000C15+16GB&id=13250
887,Corsair CMT32GX4M2C3200C16 16GB,28,18.8,15.5,$379.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M2C3200C16+16GB&id=13164
888,Corsair CMT32GX4M2C3466C16 16GB,30,18.8,14.9,$299.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M2C3466C16+16GB&id=13346
890,Corsair CMT32GX4M2D3600C18 16GB,34,20.5,15.6,$459.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M2D3600C18+16GB&id=16118
891,Corsair CMT32GX4M2E3200C16 16GB,40,18.3,15.3,$249.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M2E3200C16+16GB&id=16318
897,Corsair CMT32GX4M4C3000C15 8GB,22,18.0,14.8,$413.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M4C3000C15+8GB&id=13370
898,Corsair CMT32GX4M4C3200C14 8GB,23,18.9,16.9,$519.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M4C3200C14+8GB&id=13454
899,Corsair CMT32GX4M4C3200C16 8GB,28,18.7,15.5,$381.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M4C3200C16+8GB&id=13195
901,Corsair CMT32GX4M4C3600C18 8GB,32,18.9,16.3,$373.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M4C3600C18+8GB&id=13316
903,Corsair CMT32GX4M4K3600C16 8GB,27,21.6,17.0,$529.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M4K3600C16+8GB&id=13423
905,Corsair CMT32GX4M4Z3200C16 8GB,27,18.5,16.1,$398.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M4Z3200C16+8GB&id=13582
910,Corsair CMT64GX4M4E3200C16 16GB,32,18.7,13.6,$719.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT64GX4M4E3200C16+16GB&id=16212
912,Corsair CMT64GX4M4K3600C18 16GB,34,19.8,15.1,$636.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT64GX4M4K3600C18+16GB&id=13214
920,Corsair CMU16GX4M2A2666C16 8GB,31,16.6,12.5,$213.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU16GX4M2A2666C16+8GB&id=9172
921,Corsair CMU16GX4M2C3000C15 8GB,30,18.0,13.7,$159.63*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU16GX4M2C3000C15+8GB&id=9137
922,Corsair CMU16GX4M2C3200C16 8GB,27,19.2,15.3,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU16GX4M2C3200C16+8GB&id=9197
923,Corsair CMU16GX4M2D3000C16 8GB,20,19.7,14.9,$335.01*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU16GX4M2D3000C16+8GB&id=12775
926,Corsair CMU32GX4M2A2666C16 16GB,29,17.3,14.1,$177.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M2A2666C16+16GB&id=9455
927,Corsair CMU32GX4M2C3000C15 16GB,32,17.9,14.1,$435.90*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M2C3000C15+16GB&id=9256
928,Corsair CMU32GX4M2C3000C16 16GB,22,18.4,13.5,$623.84*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M2C3000C16+16GB&id=11869
929,Corsair CMU32GX4M2C3200C16 16GB,30,17.9,13.6,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M2C3200C16+16GB&id=9283
931,Corsair CMU32GX4M2D3200C16 16GB,30,15.0,12.3,$732.22*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M2D3200C16+16GB&id=12640
932,Corsair CMU32GX4M4A2666C16 8GB,29,17.3,13.8,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M4A2666C16+8GB&id=9620
933,Corsair CMU32GX4M4C3000C15 8GB,33,17.2,13.3,$377.16*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M4C3000C15+8GB&id=9326
935,Corsair CMU32GX4M4C3200C16 8GB,28,19.9,14.9,$358.17*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M4C3200C16+8GB&id=9767
936,Corsair CMU32GX4M4C3400C16 8GB,30,20.0,15.2,$329.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M4C3400C16+8GB&id=9194
937,Corsair CMU32GX4M4C3466C16 8GB,34,15.9,13.2,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M4C3466C16+8GB&id=9497
938,Corsair CMU32GX4M4D3000C16 8GB,94,11.1,8.8,$575.48*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU32GX4M4D3000C16+8GB&id=12504
939,Corsair CMU64GX4M4A2666C16 16GB,37,15.8,13.1,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU64GX4M4A2666C16+16GB&id=9713
940,Corsair CMU64GX4M4C3000C15 16GB,32,16.5,13.9,$951.50*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU64GX4M4C3000C15+16GB&id=9260
941,Corsair CMU64GX4M4C3200C16 16GB,37,15.1,12.9,$583.44*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU64GX4M4C3200C16+16GB&id=9238
942,Corsair CMU64GX4M4D3000C16 16GB,45,15.6,12.9,$829.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMU64GX4M4D3000C16+16GB&id=12487
943,Corsair CMV16GX4M1A2133C15 16GB,32,15.7,12.2,$66.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV16GX4M1A2133C15+16GB&id=8286
945,Corsair CMV16GX4M1A2666C18 16GB,32,14.0,11.3,$68.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV16GX4M1A2666C18+16GB&id=12403
948,Corsair CMV4GX4M1A2133C15 4GB,33,15.2,10.7,$24.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV4GX4M1A2133C15+4GB&id=7244
950,Corsair CMV4GX4M1A2666C18 4GB,29,15.9,11.2,$24.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV4GX4M1A2666C18+4GB&id=12893
951,Corsair CMV8GX4M1A2133C15 8GB,34,15.6,11.3,$45.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV8GX4M1A2133C15+8GB&id=7998
952,Corsair CMV8GX4M1A2400C16 8GB,30,16.2,11.7,$59.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV8GX4M1A2400C16+8GB&id=10500
953,Corsair CMV8GX4M1A2666C18 8GB,30,18.1,13.3,$49.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMV8GX4M1A2666C18+8GB&id=11644
957,Corsair CMW128GX4M4E3200C16 32GB,39,16.8,13.7,"$1,149.00",https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW128GX4M4E3200C16+32GB&id=14456
958,Corsair CMW128GX4M8C3000C16 16GB,23,14.7,11.4,$979.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW128GX4M8C3000C16+16GB&id=13227
959,Corsair CMW128GX4M8C3200C16 16GB,31,15.0,15.3,$819.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW128GX4M8C3200C16+16GB&id=12835
964,Corsair CMW16GX4M2A2666C16 8GB,31,16.8,13.0,$118.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2A2666C16+8GB&id=12189
965,Corsair CMW16GX4M2C3000C15 8GB,29,18.1,14.3,$124.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2C3000C15+8GB&id=12206
966,Corsair CMW16GX4M2C3200C14 8GB,25,20.8,16.8,$214.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2C3200C14+8GB&id=12539
967,Corsair CMW16GX4M2C3200C16 8GB,29,18.7,14.7,$129.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2C3200C16+8GB&id=12249
968,Corsair CMW16GX4M2C3466C16 8GB,28,19.2,14.1,$219.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2C3466C16+8GB&id=12316
969,Corsair CMW16GX4M2C3600C18 8GB,28,18.6,16.0,$149.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2C3600C18+8GB&id=12184
970,Corsair CMW16GX4M2D3000C16 8GB,33,16.7,13.5,$119.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2D3000C16+8GB&id=12260
972,Corsair CMW16GX4M2D3600C18 8GB,30,18.6,15.1,$139.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2D3600C18+8GB&id=13719
973,Corsair CMW16GX4M2E3200C16 8GB,30,18.4,14.3,$125.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2E3200C16+8GB&id=13928
974,Corsair CMW16GX4M2K3600C16 8GB,34,17.8,15.9,$229.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2K3600C16+8GB&id=13411
975,Corsair CMW16GX4M2K4000C19 8GB,29,20.9,17.6,$256.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2K4000C19+8GB&id=12328
976,Corsair CMW16GX4M2K4266C19 8GB,23,19.2,16.8,$478.59*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2K4266C19+8GB&id=13001
977,Corsair CMW16GX4M2Z2933C16 8GB,28,17.3,14.4,$94.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2Z2933C16+8GB&id=12374
978,Corsair CMW16GX4M2Z3200C16 8GB,32,18.8,14.3,$129.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2Z3200C16+8GB&id=13948
979,Corsair CMW16GX4M2Z3600C18 8GB,30,18.4,15.4,$148.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M2Z3600C18+8GB&id=13685
983,Corsair CMW32GX4M2A2666C16 16GB,30,16.9,13.8,$189.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2A2666C16+16GB&id=12522
984,Corsair CMW32GX4M2C3000C15 16GB,30,17.8,14.3,$174.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2C3000C15+16GB&id=12432
985,Corsair CMW32GX4M2C3200C16 16GB,29,17.9,14.9,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2C3200C16+16GB&id=12617
986,Corsair CMW32GX4M2C3200C18 16GB,34,20.3,14.2,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2C3200C18+16GB&id=18721
988,Corsair CMW32GX4M2C3466C16 16GB,25,20.2,16.6,$269.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2C3466C16+16GB&id=13070
990,Corsair CMW32GX4M2D3600C18 16GB,33,19.6,15.4,$199.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2D3600C18+16GB&id=14426
991,Corsair CMW32GX4M2E3200C16 16GB,33,18.4,14.2,$185.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2E3200C16+16GB&id=14088
993,Corsair CMW32GX4M2Z2933C16 16GB,32,17.0,14.6,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2Z2933C16+16GB&id=13444
994,Corsair CMW32GX4M2Z3200C16 16GB,29,18.0,15.4,$268.89*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2Z3200C16+16GB&id=13692
996,Corsair CMW32GX4M2Z3600C18 16GB,31,19.0,15.6,$199.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M2Z3600C18+16GB&id=14413
997,Corsair CMW32GX4M4A2666C16 8GB,32,17.0,13.5,$218.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4A2666C16+8GB&id=12333
998,Corsair CMW32GX4M4C3000C15 8GB,30,18.1,14.5,$318.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4C3000C15+8GB&id=12236
999,Corsair CMW32GX4M4C3200C14 8GB,25,21.2,16.3,$409.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4C3200C14+8GB&id=12478
1000,Corsair CMW32GX4M4C3200C16 8GB,29,18.5,15.0,$219.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4C3200C16+8GB&id=12179
1001,Corsair CMW32GX4M4C3466C16 8GB,20,19.1,14.6,$279.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4C3466C16+8GB&id=12327
1002,Corsair CMW32GX4M4C3600C18 8GB,30,19.5,16.0,$275.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4C3600C18+8GB&id=12180
1006,Corsair CMW32GX4M4K4000C19 8GB,29,20.1,17.2,$755.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4K4000C19+8GB&id=12915
1008,Corsair CMW32GX4M4Z2933C16 8GB,39,15.4,14.6,$209.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4Z2933C16+8GB&id=12914
1014,Corsair CMW64GX4M2E3200C16 32GB,33,17.5,14.4,$359.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M2E3200C16+32GB&id=14386
1015,Corsair CMW64GX4M4A2666C16 16GB,30,18.3,13.7,$299.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4A2666C16+16GB&id=12737
1016,Corsair CMW64GX4M4C3000C15 16GB,34,16.3,14.7,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4C3000C15+16GB&id=12597
1017,Corsair CMW64GX4M4C3200C16 16GB,33,17.2,15.0,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4C3200C16+16GB&id=12590
1018,Corsair CMW64GX4M4C3466C16 16GB,23,19.7,17.1,$499.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4C3466C16+16GB&id=12636
1019,Corsair CMW64GX4M4D3600C18 16GB,34,19.2,14.8,$604.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4D3600C18+16GB&id=15528
1020,Corsair CMW64GX4M4E3200C16 16GB,29,18.4,15.1,$671.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4E3200C16+16GB&id=15058
1021,Corsair CMW64GX4M4K3600C18 16GB,31,16.8,14.6,$649.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4K3600C18+16GB&id=12488
1022,Corsair CMW64GX4M4Z2933C16 16GB,30,17.4,14.6,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M4Z2933C16+16GB&id=13027
1023,Corsair CMW64GX4M8A2666C16 8GB,24,16.0,11.6,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8A2666C16+8GB&id=13426
1024,Corsair CMW64GX4M8C3000C15 8GB,30,18.8,11.6,$575.39*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8C3000C15+8GB&id=12732
1025,Corsair CMW64GX4M8C3200C16 8GB,43,12.8,14.6,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8C3200C16+8GB&id=12546
1027,Corsair CMW64GX4M8X3600C18 8GB,21,17.2,13.1,$619.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8X3600C18+8GB&id=12477
1028,Corsair CMW64GX4M8Z2933C16 8GB,35,10.0,12.4,$439.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8Z2933C16+8GB&id=12464
1126,Crucial Technology BL8G30C15U4R.8FE 8GB,32,18.1,14.1,$47.73*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BL8G30C15U4R.8FE+8GB&id=17345
1161,Crucial Technology BLE4G4D26AFEA.8FAD 4GB,37,16.2,11.9,$94.13*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE4G4D26AFEA.8FAD+4GB&id=7331
1164,Crucial Technology BLE4G4D30AEEA.K8FE 4GB,26,19.6,15.8,$56.67*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE4G4D30AEEA.K8FE+4GB&id=10885
1165,Crucial Technology BLE4G4D32AEEA.K8FD 4GB,23,17.3,13.0,$107.83*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE4G4D32AEEA.K8FD+4GB&id=12138
1166,Crucial Technology BLE4G4D32AEEA.K8FE 4GB,26,23.2,18.0,$144.21*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE4G4D32AEEA.K8FE+4GB&id=9426
1167,Crucial Technology BLE8G4D26AFEA.16FAD 8GB,34,16.0,12.4,$129.74*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE8G4D26AFEA.16FAD+8GB&id=7412
1169,Crucial Technology BLE8G4D30AEEA.K16FD 8GB,62,18.0,9.5,$156.15*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE8G4D30AEEA.K16FD+8GB&id=12276
1170,Crucial Technology BLE8G4D30AEEA.K16FE 8GB,25,20.6,17.1,$49.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE8G4D30AEEA.K16FE+8GB&id=9280
1172,Crucial Technology BLE8G4D34AEEAK.K8FB 8GB,28,18.3,14.8,$135.77*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE8G4D34AEEAK.K8FB+8GB&id=10799
1173,Crucial Technology BLE8G4D36BEEAK.M8FE1 8GB,24,20.2,17.6,$118.03*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLE8G4D36BEEAK.M8FE1+8GB&id=13415
1184,Crucial Technology BLS16G4D240FSB.16FAD 16GB,31,17.5,13.1,$65.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D240FSB.16FAD+16GB&id=8689
