,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
472,Corsair CMD16GX4M4B3200C14 4GB,28,13.0,9.2,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C14+4GB&id=9773
473,Corsair CMD16GX4M4B3200C15 4GB,22,17.7,14.1,$297.49*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C15+4GB&id=7591
474,Corsair CMD16GX4M4B3200C16 4GB,34,15.7,11.5,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C16+4GB&id=6477
476,Corsair CMD16GX4M4B3300C16 4GB,23,16.5,13.1,$270.78*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3300C16+4GB&id=7404
478,Corsair CMD16GX4M4B3400C16 4GB,25,18.8,16.3,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3400C16+4GB&id=8231
479,Corsair CMD16GX4M4B3600C18 4GB,30,16.6,12.3,$583.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3600C18+4GB&id=9100
480,Corsair CMD16GX4M4C3200C15 4GB,25,14.3,12.0,$194.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4C3200C15+4GB&id=8424
481,Corsair CMD16GX4M4C3200C16 4GB,28,18.3,15.8,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4C3200C16+4GB&id=8870
482,Corsair CMD32GX4M2A2666C15 16GB,29,17.3,13.4,$440.19*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2A2666C15+16GB&id=8194
483,Corsair CMD32GX4M2A2800C16 16GB,26,15.7,10.7,$229.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2A2800C16+16GB&id=8528
484,Corsair CMD32GX4M2B2800C14 16GB,33,16.5,13.4,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B2800C14+16GB&id=8955
485,Corsair CMD32GX4M2B3000C15 16GB,30,18.2,14.0,$196.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B3000C15+16GB&id=8139
486,Corsair CMD32GX4M2B3466C16 16GB,34,16.2,12.0,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B3466C16+16GB&id=11595
489,Corsair CMD32GX4M2C3200C16 16GB,32,17.1,13.9,$209.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2C3200C16+16GB&id=8711
491,Corsair CMD32GX4M4A2400C12 8GB,22,17.7,13.1,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2400C12+8GB&id=9181
492,Corsair CMD32GX4M4A2400C14 8GB,32,16.7,12.2,$917.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2400C14+8GB&id=6618
493,Corsair CMD32GX4M4A2666C15 8GB,35,15.9,12.8,$219.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C15+8GB&id=6482
494,Corsair CMD32GX4M4A2666C16 8GB,40,14.1,11.4,$671.25*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C16+8GB&id=6588
495,Corsair CMD32GX4M4A2800C16 8GB,36,15.7,11.3,$439.95*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2800C16+8GB&id=7393
497,Corsair CMD32GX4M4B2400C10 8GB,31,16.1,11.5,$639.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2400C10+8GB&id=8645
499,Corsair CMD32GX4M4B3000C15 8GB,34,15.1,12.5,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3000C15+8GB&id=7025
500,Corsair CMD32GX4M4B3200C16 8GB,31,18.9,14.5,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3200C16+8GB&id=8167
501,Corsair CMD32GX4M4B3333C16 8GB,30,17.5,14.5,$799.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3333C16+8GB&id=8836
502,Corsair CMD32GX4M4B3466C16 8GB,22,15.7,17.2,$644.50*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3466C16+8GB&id=12734
503,Corsair CMD32GX4M4B3600C16 8GB,20,18.7,15.0,$897.66*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3600C16+8GB&id=11108
506,Corsair CMD32GX4M4C3000C15 8GB,38,14.8,12.1,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3000C15+8GB&id=8946
510,Corsair CMD32GX4M4C3200C16 8GB,25,18.6,15.5,$289.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3200C16+8GB&id=12412
511,Corsair CMD32GX4M4C3200C16-R 8GB,27,20.0,15.4,$369.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3200C16-R+8GB&id=10297
514,Corsair CMD64GX4M4A2400C14 16GB,26,15.3,11.2,$489.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4A2400C14+16GB&id=8448
