,Unnamed: 0,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
1955,3509,Intel Xeon Gold 5320 @ 2.20GHz,"37,558",147,22.83,"$1,645.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5320+%40+2.20GHz&id=4594,"162,499 MOps/Sec","93,600 MOps/Sec",145 Million Primes/Sec,"72,944 Thousand Strings/Sec","31,162 MBytes/Sec","573,802 KBytes/Sec","1,776 Frames/Sec","49,143 Million Matrices/Sec","1,826 MOps/Sec"
1956,3510,Intel Xeon Gold 5415+,"24,765",323,23.23,"$1,066.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5415%2B&id=5292,"71,676 MOps/Sec","57,887 MOps/Sec",129 Million Primes/Sec,"29,185 Thousand Strings/Sec","14,247 MBytes/Sec","288,449 KBytes/Sec","1,950 Frames/Sec","23,710 Million Matrices/Sec","3,197 MOps/Sec"
1957,3511,Intel Xeon Gold 5416S,"36,907",153,39.10,$944.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5416S&id=5306,"116,074 MOps/Sec","89,106 MOps/Sec",174 Million Primes/Sec,"51,204 Thousand Strings/Sec","23,732 MBytes/Sec","450,531 KBytes/Sec","2,842 Frames/Sec","36,158 Million Matrices/Sec","3,215 MOps/Sec"
1958,3512,Intel Xeon Gold 5420+,"57,593",57,31.16,"$1,848.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5420%2B&id=5307,"195,726 MOps/Sec","152,431 MOps/Sec",314 Million Primes/Sec,"83,246 Thousand Strings/Sec","38,513 MBytes/Sec","772,205 KBytes/Sec","5,390 Frames/Sec","61,766 Million Matrices/Sec","3,418 MOps/Sec"
1959,3513,Intel Xeon Gold 6122 @ 1.80GHz,"23,781",344,11.88,"$2,002.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6122+%40+1.80GHz&id=5067,"82,061 MOps/Sec","51,846 MOps/Sec",104 Million Primes/Sec,"47,117 Thousand Strings/Sec","9,344 MBytes/Sec","362,317 KBytes/Sec","1,509 Frames/Sec","25,166 Million Matrices/Sec","2,157 MOps/Sec"
1960,3514,Intel Xeon Gold 6126 @ 2.60GHz,"19,223",501,106.23,$180.96,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6126+%40+2.60GHz&id=3219,NA,NA,NA,NA,NA,NA,NA,NA,"2,019 MOps/Sec"
1961,3515,Intel Xeon Gold 6128 @ 3.40GHz,"13,605",746,78.73,$172.80,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6128+%40+3.40GHz&id=3104,"39,585 MOps/Sec","25,064 MOps/Sec",61 Million Primes/Sec,"22,622 Thousand Strings/Sec","4,536 MBytes/Sec","175,828 KBytes/Sec",860 Frames/Sec,"14,262 Million Matrices/Sec","2,238 MOps/Sec"
1962,3516,Intel Xeon Gold 6130 @ 2.10GHz,"20,362",464,17.71,"$1,149.45",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6130+%40+2.10GHz&id=3126,"79,820 MOps/Sec","49,457 MOps/Sec",79 Million Primes/Sec,"44,568 Thousand Strings/Sec","6,864 MBytes/Sec","355,970 KBytes/Sec","1,089 Frames/Sec","25,027 Million Matrices/Sec","2,100 MOps/Sec"
1963,3517,Intel Xeon Gold 6130T @ 2.10GHz,"21,804",412,8.55,"$2,550.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6130T+%40+2.10GHz&id=3855,"78,677 MOps/Sec","49,009 MOps/Sec",102 Million Primes/Sec,"44,837 Thousand Strings/Sec","7,945 MBytes/Sec","354,011 KBytes/Sec","1,761 Frames/Sec","24,283 Million Matrices/Sec","1,698 MOps/Sec"
1964,3518,Intel Xeon Gold 6132 @ 2.60GHz,"22,787",382,90.43,$252.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6132+%40+2.60GHz&id=3227,"81,981 MOps/Sec","51,300 MOps/Sec",91 Million Primes/Sec,"44,779 Thousand Strings/Sec","8,789 MBytes/Sec","356,012 KBytes/Sec","1,482 Frames/Sec","26,317 Million Matrices/Sec","2,158 MOps/Sec"
1965,3520,Intel Xeon Gold 6134 @ 3.20GHz,"16,651",603,73.03,$228.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6134+%40+3.20GHz&id=3008,"53,014 MOps/Sec","33,137 MOps/Sec",80 Million Primes/Sec,"30,600 Thousand Strings/Sec","5,762 MBytes/Sec","235,232 KBytes/Sec","1,293 Frames/Sec","17,714 Million Matrices/Sec","2,237 MOps/Sec"
1966,3521,Intel Xeon Gold 6136 @ 3.00GHz,"21,413",427,53.67,$398.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6136+%40+3.00GHz&id=3065,"77,326 MOps/Sec","48,344 MOps/Sec",92 Million Primes/Sec,"42,930 Thousand Strings/Sec","7,748 MBytes/Sec","342,488 KBytes/Sec","1,444 Frames/Sec","25,918 Million Matrices/Sec","2,215 MOps/Sec"
1967,3523,Intel Xeon Gold 6138 @ 2.00GHz,"21,051",435,49.44,$425.81,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6138+%40+2.00GHz&id=3137,"92,984 MOps/Sec","57,747 MOps/Sec",69 Million Primes/Sec,"46,662 Thousand Strings/Sec","6,826 MBytes/Sec","398,757 KBytes/Sec",998 Frames/Sec,"28,781 Million Matrices/Sec","2,042 MOps/Sec"
1968,3524,Intel Xeon Gold 6138T @ 2.00GHz,"20,649",452,6.17,"$3,345.78",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6138T+%40+2.00GHz&id=3703,"97,707 MOps/Sec","57,038 MOps/Sec",58 Million Primes/Sec,"35,228 Thousand Strings/Sec","11,549 MBytes/Sec","430,090 KBytes/Sec",632 Frames/Sec,"26,590 Million Matrices/Sec","2,087 MOps/Sec"
1969,3525,Intel Xeon Gold 6140 @ 2.30GHz,"23,016",368,96.91,$237.50,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6140+%40+2.30GHz&id=3132,"98,124 MOps/Sec","58,760 MOps/Sec",76 Million Primes/Sec,"50,807 Thousand Strings/Sec","8,675 MBytes/Sec","429,099 KBytes/Sec",883 Frames/Sec,"29,302 Million Matrices/Sec","2,032 MOps/Sec"
1970,3526,Intel Xeon Gold 6142 @ 2.60GHz,"27,114",273,114.16,$237.50,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6142+%40+2.60GHz&id=3273,"97,484 MOps/Sec","52,242 MOps/Sec",121 Million Primes/Sec,"48,737 Thousand Strings/Sec","12,909 MBytes/Sec","427,722 KBytes/Sec","2,115 Frames/Sec","24,964 Million Matrices/Sec","2,177 MOps/Sec"
1971,3528,Intel Xeon Gold 6144 @ 3.50GHz,"19,993",472,10.58,"$1,890.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6144+%40+3.50GHz&id=3110,"64,030 MOps/Sec","44,785 MOps/Sec",112 Million Primes/Sec,"38,898 Thousand Strings/Sec","7,645 MBytes/Sec","303,876 KBytes/Sec","1,524 Frames/Sec","18,883 Million Matrices/Sec","2,509 MOps/Sec"
1972,3529,Intel Xeon Gold 6146 @ 3.20GHz,"23,296",357,15.70,"$1,483.95",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6146+%40+3.20GHz&id=3205,"84,742 MOps/Sec","52,809 MOps/Sec",104 Million Primes/Sec,"45,674 Thousand Strings/Sec","8,080 MBytes/Sec","360,283 KBytes/Sec","1,739 Frames/Sec","26,562 Million Matrices/Sec","2,309 MOps/Sec"
