,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
2368,Kingston K531R8-ETF 4GB,39,13.5,7.8,NA
2369,Kingston K531R8-HYA 4GB,42,13.8,8.2,$21.00*
2370,Kingston K531R8-MIN 4GB,28,13.4,9.0,NA
2371,Kingston K66GKY-ETB 8GB,28,13.8,9.7,NA
2372,Kingston K66GKY-ETF 8GB,41,14.8,9.9,NA
2373,Kingston K66GKY-HYA 8GB,40,13.9,9.3,NA
2374,Kingston K66GKY-MIN 8GB,29,13.6,9.6,NA
2375,Kingston KF073F-ELD 2GB,29,11.3,7.6,NA
2376,Kingston KF073F-ELF 2GB,26,12.2,8.5,NA
2377,Kingston KF1600C9S3L/8G 8GB,39,15.3,9.8,NA
2378,Kingston KFYHV1-HYC 4GB,38,14.4,9.6,NA
2379,Kingston KHX 4GB,25,10.0,4.4,NA
2380,Kingston KHX1333C7D3/2GX 2GB,26,12.0,7.4,NA
2381,Kingston KHX16 4GB,24,9.7,4.0,$45.99*
2382,Kingston KHX160 4GB,63,7.4,3.8,NA
2383,Kingston KHX1600C10 8GB,74,5.9,2.9,NA
2384,Kingston KHX1600C10D3/4G 4GB,39,14.6,8.7,NA
2385,Kingston KHX1600C10D3/8G 8GB,39,14.9,9.4,NA
2386,Kingston KHX1600C10D3/8GX 8GB,42,14.0,8.8,NA
2387,Kingston KHX1600C10D3/8GXF 8GB,68,6.3,4.4,NA
2388,Kingston KHX1600C10D3L/4G 4GB,36,14.2,8.8,NA
2389,Kingston KHX1600C10D3L/8G 8GB,40,14.4,9.3,NA
2390,Kingston KHX1600C10D3L/8GX 8GB,38,14.0,9.4,NA
2391,Kingston KHX1600C9D3/2G 2GB,22,14.3,8.5,NA
2392,Kingston KHX1600C9D3/2GX 2GB,37,12.5,7.5,NA
2393,Kingston KHX1600C9D3/4G 4GB,35,14.5,9.9,$83.86*
2394,Kingston KHX1600C9D3/4GX 4GB,39,14.5,8.9,NA
2395,Kingston KHX1600C9D3/8G 8GB,37,15.2,9.5,NA
2396,Kingston KHX1600C9D3/8GX 8GB,40,14.3,9.0,NA
2397,Kingston KHX1600C9D3L/4GX 4GB,34,14.1,8.5,NA
2398,Kingston KHX1600C9D3L/8GX 8GB,37,14.3,9.2,NA
2399,Kingston KHX1600C9D3LK2/4GX 2GB,20,16.0,9.7,$28.99*
2400,Kingston KHX1600C9D3LK2/8GX 4GB,35,14.5,8.7,$135.83*
2401,Kingston KHX1600C9S3/4G 4GB,28,12.2,8.0,NA
2402,Kingston KHX1600C9S3/4GX 4GB,26,13.4,9.3,NA
2403,Kingston KHX1600C9S3/8G 8GB,42,12.4,8.6,NA
2404,Kingston KHX1600C9S3K2/8GX 4GB,27,13.2,8.6,$54.99*
2405,Kingston KHX1600C9S3L/4G 4GB,40,13.0,8.4,NA
2406,Kingston KHX1600C9S3L/8G 8GB,42,13.4,9.3,NA
2407,Kingston KHX1600D3/8G 8GB,35,15.9,10.4,NA
2408,Kingston KHX16LC9/8GX 8GB,38,14.3,9.4,NA
2409,Kingston KHX1866C10D3/4G 4GB,37,15.2,9.4,NA
2410,Kingston KHX1866C10D3/4GX 4GB,36,13.7,8.3,NA
2411,Kingston KHX1866C10D3/8G 8GB,36,15.9,10.4,NA
