,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
41,Corsair CMD32GX4M4A2666C16 8GB,40,14.1,11.4,$671.25*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C16+8GB&id=6588,"4,473 KOps/Sec","30,904 MBytes/Sec","16,624 MBytes/Sec","12,716 MBytes/Sec",37 ns (lower is better),"40,767 MBytes/Sec"
42,Corsair CMD32GX4M4A2800C16 8GB,36,15.7,11.3,$439.95*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2800C16+8GB&id=7393,"5,455 KOps/Sec","30,429 MBytes/Sec","15,628 MBytes/Sec","11,586 MBytes/Sec",42 ns (lower is better),"42,272 MBytes/Sec"
43,Corsair CMD32GX4M4B2400C10 8GB,31,16.1,11.5,$639.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2400C10+8GB&id=8645,"4,846 KOps/Sec","31,330 MBytes/Sec","18,445 MBytes/Sec","13,384 MBytes/Sec",32 ns (lower is better),"34,465 MBytes/Sec"
44,Corsair CMD32GX4M4B3000C15 8GB,34,15.1,12.5,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3000C15+8GB&id=7025,"5,535 KOps/Sec","28,973 MBytes/Sec","15,272 MBytes/Sec","12,608 MBytes/Sec",36 ns (lower is better),"38,842 MBytes/Sec"
45,Corsair CMD32GX4M4B3200C16 8GB,31,18.9,14.5,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3200C16+8GB&id=8167,"5,775 KOps/Sec","31,619 MBytes/Sec","18,224 MBytes/Sec","14,433 MBytes/Sec",37 ns (lower is better),"47,778 MBytes/Sec"
46,Corsair CMD32GX4M4B3333C16 8GB,30,17.5,14.5,$799.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3333C16+8GB&id=8836,"6,288 KOps/Sec","31,602 MBytes/Sec","18,086 MBytes/Sec","14,875 MBytes/Sec",32 ns (lower is better),"43,392 MBytes/Sec"
47,Corsair CMD32GX4M4B3466C16 8GB,22,15.7,17.2,$644.50*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3466C16+8GB&id=12734,"10,050 KOps/Sec","33,246 MBytes/Sec","15,565 MBytes/Sec","17,318 MBytes/Sec",30 ns (lower is better),"102,871 MBytes/Sec"
48,Corsair CMD32GX4M4B3600C16 8GB,20,18.7,15.0,$897.66*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3600C16+8GB&id=11108,"8,666 KOps/Sec","32,997 MBytes/Sec","19,741 MBytes/Sec","17,824 MBytes/Sec",21 ns (lower is better),"52,855 MBytes/Sec"
49,Corsair CMD32GX4M4C3000C15 8GB,38,14.8,12.1,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3000C15+8GB&id=8946,"5,489 KOps/Sec","29,452 MBytes/Sec","16,396 MBytes/Sec","13,109 MBytes/Sec",41 ns (lower is better),"55,075 MBytes/Sec"
50,Corsair CMD32GX4M4C3200C16 8GB,25,18.6,15.5,$289.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3200C16+8GB&id=12412,"6,433 KOps/Sec","32,846 MBytes/Sec","20,211 MBytes/Sec","15,029 MBytes/Sec",36 ns (lower is better),"42,316 MBytes/Sec"
51,Corsair CMD32GX4M4C3200C16-R 8GB,27,20.0,15.4,$369.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3200C16-R+8GB&id=10297,"5,670 KOps/Sec","31,398 MBytes/Sec","18,740 MBytes/Sec","13,854 MBytes/Sec",35 ns (lower is better),"42,403 MBytes/Sec"
52,Corsair CMD64GX4M4A2400C14 16GB,26,15.3,11.2,$489.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4A2400C14+16GB&id=8448,"5,804 KOps/Sec","27,386 MBytes/Sec","15,793 MBytes/Sec","9,262 MBytes/Sec",46 ns (lower is better),"32,562 MBytes/Sec"
53,Corsair CMD64GX4M4A2666C15 16GB,41,14.0,13.6,$369.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4A2666C15+16GB&id=9173,"6,080 KOps/Sec","29,312 MBytes/Sec","14,928 MBytes/Sec","12,877 MBytes/Sec",47 ns (lower is better),"54,405 MBytes/Sec"
54,Corsair CMD64GX4M4B2800C14 16GB,25,15.0,11.6,$479.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B2800C14+16GB&id=8075,"5,281 KOps/Sec","27,327 MBytes/Sec","15,165 MBytes/Sec","10,384 MBytes/Sec",37 ns (lower is better),"47,413 MBytes/Sec"
55,Corsair CMD64GX4M4B3000C15 16GB,30,19.5,14.5,$459.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3000C15+16GB&id=8693,"6,601 KOps/Sec","30,940 MBytes/Sec","19,490 MBytes/Sec","14,458 MBytes/Sec",30 ns (lower is better),"35,771 MBytes/Sec"
56,Corsair CMD64GX4M4B3333C16 16GB,35,14.7,10.7,$958.08*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3333C16+16GB&id=8657,"5,328 KOps/Sec","29,530 MBytes/Sec","13,775 MBytes/Sec","11,960 MBytes/Sec",47 ns (lower is better),"59,576 MBytes/Sec"
57,Corsair CMD64GX4M4B3466C16 16GB,29,17.5,15.5,$849.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3466C16+16GB&id=8837,"6,402 KOps/Sec","29,705 MBytes/Sec","18,178 MBytes/Sec","15,311 MBytes/Sec",33 ns (lower is better),"44,610 MBytes/Sec"
58,Corsair CMD64GX4M4C3000C15 16GB,34,16.1,13.9,$417.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3000C15+16GB&id=9920,"6,176 KOps/Sec","30,364 MBytes/Sec","15,172 MBytes/Sec","13,151 MBytes/Sec",39 ns (lower is better),"51,874 MBytes/Sec"
59,Corsair CMD64GX4M4C3200C16 16GB,35,16.5,13.7,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3200C16+16GB&id=8859,"5,682 KOps/Sec","30,694 MBytes/Sec","16,546 MBytes/Sec","13,131 MBytes/Sec",39 ns (lower is better),"47,142 MBytes/Sec"
60,Corsair CMD64GX4M8A2400C14 8GB,28,12.9,10.6,$894.83*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2400C14+8GB&id=7026,"1,789 KOps/Sec","25,777 MBytes/Sec","12,949 MBytes/Sec","10,613 MBytes/Sec",49 ns (lower is better),"52,793 MBytes/Sec"
61,Corsair CMD64GX4M8A2666C15 8GB,39,13.7,11.9,$728.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2666C15+8GB&id=7034,"4,140 KOps/Sec","27,945 MBytes/Sec","13,552 MBytes/Sec","11,476 MBytes/Sec",45 ns (lower is better),"57,951 MBytes/Sec"
62,Corsair CMD64GX4M8B2800C14 8GB,26,14.4,11.0,$699.89*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8B2800C14+8GB&id=8803,"4,334 KOps/Sec","27,847 MBytes/Sec","14,584 MBytes/Sec","11,080 MBytes/Sec",33 ns (lower is better),"26,064 MBytes/Sec"
63,Corsair CMD64GX4M8B3200C16 8GB,26,14.8,11.0,$549.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8B3200C16+8GB&id=8869,"6,481 KOps/Sec","25,231 MBytes/Sec","13,577 MBytes/Sec","11,250 MBytes/Sec",55 ns (lower is better),"64,805 MBytes/Sec"
64,Corsair CMD64GX4M8X4000C19 8GB,27,12.2,15.9,$899.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8X4000C19+8GB&id=12127,NA,NA,NA,NA,NA,NA
65,Corsair CMD8GX4M2B3000C15 4GB,21,18.5,14.2,$291.02*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3000C15+4GB&id=8564,"4,570 KOps/Sec","29,769 MBytes/Sec","16,971 MBytes/Sec","12,283 MBytes/Sec",36 ns (lower is better),"39,829 MBytes/Sec"
66,Corsair CMD8GX4M2B3200C16 4GB,24,19.5,16.3,$79.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3200C16+4GB&id=10934,"6,030 KOps/Sec","31,875 MBytes/Sec","19,524 MBytes/Sec","16,325 MBytes/Sec",24 ns (lower is better),"40,547 MBytes/Sec"
67,Corsair CMD8GX4M2B3600C18 4GB,22,18.1,14.4,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3600C18+4GB&id=8426,NA,"23,564 MBytes/Sec","18,121 MBytes/Sec","14,362 MBytes/Sec",22 ns (lower is better),NA
68,Corsair CMD8GX4M2B3866C18 4GB,18,21.2,17.7,$257.22*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3866C18+4GB&id=9446,NA,"30,216 MBytes/Sec","21,217 MBytes/Sec","17,681 MBytes/Sec",18 ns (lower is better),NA
69,Corsair CMD8GX4M2B4000C19 4GB,18,21.4,18.5,$415.63*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B4000C19+4GB&id=11863,NA,"29,217 MBytes/Sec","21,439 MBytes/Sec","18,518 MBytes/Sec",18 ns (lower is better),NA
70,Corsair CMG16GX4M2D3600C18 8GB,34,21.8,16.7,$119.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG16GX4M2D3600C18+8GB&id=17111,"6,120 KOps/Sec","33,644 MBytes/Sec","21,537 MBytes/Sec","14,875 MBytes/Sec",42 ns (lower is better),"44,519 MBytes/Sec"
71,Corsair CMG16GX4M2E3200C16 8GB,34,20.4,14.8,$109.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG16GX4M2E3200C16+8GB&id=17493,"5,610 KOps/Sec","33,204 MBytes/Sec","20,845 MBytes/Sec","14,214 MBytes/Sec",42 ns (lower is better),"39,837 MBytes/Sec"
72,Corsair CMG32GX4M2D3600C18 16GB,36,21.1,15.2,$204.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG32GX4M2D3600C18+16GB&id=17242,"6,566 KOps/Sec","34,654 MBytes/Sec","21,532 MBytes/Sec","14,878 MBytes/Sec",43 ns (lower is better),"42,761 MBytes/Sec"
73,Corsair CMG32GX4M2E3200C16 16GB,32,19.1,14.2,$186.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG32GX4M2E3200C16+16GB&id=17292,"6,145 KOps/Sec","34,168 MBytes/Sec","20,580 MBytes/Sec","13,942 MBytes/Sec",42 ns (lower is better),"38,854 MBytes/Sec"
74,Corsair CMG64GX4M2D3600C18 32GB,35,22.2,16.3,$729.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG64GX4M2D3600C18+32GB&id=17673,"6,329 KOps/Sec","35,376 MBytes/Sec","21,196 MBytes/Sec","14,758 MBytes/Sec",46 ns (lower is better),"39,030 MBytes/Sec"
75,Corsair CMG64GX4M2E3200C16 32GB,44,21.6,14.3,$443.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG64GX4M2E3200C16+32GB&id=18720,"7,969 KOps/Sec","38,994 MBytes/Sec","23,474 MBytes/Sec","15,794 MBytes/Sec",45 ns (lower is better),"40,402 MBytes/Sec"
76,Corsair CMH16GX4M2D3600C18 8GB,34,20.4,15.7,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2D3600C18+8GB&id=16151,"6,128 KOps/Sec","33,576 MBytes/Sec","21,630 MBytes/Sec","14,966 MBytes/Sec",42 ns (lower is better),"43,798 MBytes/Sec"
77,Corsair CMH16GX4M2E3200C16 8GB,31,19.5,14.5,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2E3200C16+8GB&id=16046,"5,670 KOps/Sec","33,420 MBytes/Sec","20,912 MBytes/Sec","14,142 MBytes/Sec",41 ns (lower is better),"39,424 MBytes/Sec"
78,Corsair CMH16GX4M2Z3200C16 8GB,28,21.4,16.0,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2Z3200C16+8GB&id=16267,"5,372 KOps/Sec","32,420 MBytes/Sec","20,552 MBytes/Sec","13,704 MBytes/Sec",41 ns (lower is better),"42,478 MBytes/Sec"
79,Corsair CMH16GX4M2Z3600C18 8GB,28,21.8,17.3,$127.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2Z3600C18+8GB&id=15994,"6,109 KOps/Sec","33,421 MBytes/Sec","22,376 MBytes/Sec","15,637 MBytes/Sec",39 ns (lower is better),"45,530 MBytes/Sec"
80,Corsair CMH32GX4M2D3600C18 16GB,34,19.7,15.3,$199.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2D3600C18+16GB&id=16107,"6,611 KOps/Sec","34,470 MBytes/Sec","21,398 MBytes/Sec","15,264 MBytes/Sec",42 ns (lower is better),"43,036 MBytes/Sec"
81,Corsair CMH32GX4M2E3200C16 16GB,36,19.4,14.2,$191.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2E3200C16+16GB&id=16051,"6,051 KOps/Sec","33,956 MBytes/Sec","20,262 MBytes/Sec","13,971 MBytes/Sec",43 ns (lower is better),"38,460 MBytes/Sec"
